iter	Logloss
188	0.3410200838
189	0.3403526767
190	0.3398366682
191	0.3393287921
192	0.3387975829
193	0.3381500197
194	0.3375478214
195	0.3369752982
196	0.3364462763
197	0.3358820392
198	0.3351690215
199	0.3345173298
200	0.3340515712
201	0.3333768817
202	0.3328574513
203	0.3324815438
204	0.3317432485
205	0.3313119651
206	0.3310490399
207	0.3306462443
208	0.3301262002
209	0.3295935091
210	0.329250123
211	0.3289059856
212	0.3281915381
213	0.327777011
214	0.3273800765
215	0.3270324006
216	0.3266361863
217	0.326289267
218	0.3256704832
219	0.3253364647
220	0.3246652402
221	0.3243001737
222	0.3240017673
223	0.3234215579
224	0.3230148895
225	0.3228705127
226	0.3223854741
227	0.322080586
228	0.3215739984
229	0.3213062892
230	0.3210410402
231	0.3208006504
232	0.3205274393
233	0.3201678905
234	0.3197801959
235	0.3192624531
236	0.3189247285
237	0.3185189255
238	0.3181817106
239	0.3179111515
240	0.3174456484
241	0.3171159764
242	0.3169656755
243	0.3165384202
244	0.31607306
245	0.3154976143
246	0.3153233226
247	0.314934091
248	0.3147846181
249	0.3143820679
250	0.3136361917
251	0.3131293736
252	0.3127074687
253	0.3123249706
254	0.3119369325
255	0.3117057036
256	0.3110531781
257	0.3107133411
258	0.3104104214
259	0.3102007986
260	0.3095526562
261	0.309246039
262	0.3090509844
263	0.3087424945
264	0.3080923429
265	0.307597835
266	0.307416584
267	0.3071144122
268	0.3068537292
269	0.3064853062
270	0.3059976882
271	0.305512173
272	0.305051118
273	0.3047817025
274	0.3044539962
275	0.3041654281
276	0.3037622247
277	0.3032959452
278	0.3028492596
279	0.3025059255
280	0.3019977383
281	0.3017625754
282	0.301284982
283	0.3009005117
284	0.3005472699
285	0.3000746095
286	0.2997537683
287	0.2993509364
288	0.2990729512
289	0.2988202567
290	0.2983581787
291	0.298094564
292	0.2977624207
293	0.2974234369
294	0.2970285935
295	0.2966787578
296	0.2961522598
297	0.2957156506
298	0.2952527382
299	0.2948767892
300	0.294677954
301	0.2944087013
302	0.2941262945
303	0.2938225655
304	0.2934827567
305	0.2932799956
306	0.2929231571
307	0.2924548946
308	0.2921400624
309	0.2919900096
310	0.2919123801
311	0.2917195479
312	0.291481857
313	0.2911204589
314	0.2906312487
315	0.2903261907
316	0.289980646
317	0.289619937
318	0.2894177714
319	0.2891488189
320	0.2888966828
321	0.2887288075
322	0.288356642
323	0.2881852512
324	0.2881066987
325	0.2879052968
326	0.2878293338
327	0.2876666265
328	0.2874277276
329	0.2872000339
330	0.2866810956
331	0.2865147531
332	0.286052826
333	0.285745507
334	0.2853093142
335	0.284944698
336	0.2847461122
337	0.2842433542
338	0.2840481274
339	0.283788963
340	0.2834123126
341	0.2831365276
342	0.2828337493
343	0.2825210683
344	0.2823972257
345	0.2821791578
346	0.2820522978
347	0.2817141293
348	0.2814574934
349	0.2812022762
350	0.2807824513
351	0.2804177901
352	0.2801111007
353	0.2799409786
354	0.2798791169
355	0.2797115601
356	0.2793048106
357	0.2790048394
358	0.2788822107
359	0.2785899941
360	0.2782414306
361	0.2780462622
362	0.2774737138
363	0.2770818561
364	0.2768969867
365	0.2766955344
366	0.2761843783
367	0.2759641236
368	0.2757514473
369	0.2756196033
370	0.275319415
371	0.2750188879
372	0.2745734869
373	0.2744314606
374	0.2742411878
375	0.2740321481
376	0.2739374534
377	0.2736929996
378	0.2733091378
379	0.2729509352
380	0.2727287795
381	0.2723199985
382	0.2720970519
383	0.2718776608
384	0.2715769685
385	0.2713372519
386	0.2710936292
387	0.2709884876
388	0.2708432407
389	0.2705952671
390	0.2702905701
391	0.269926228
392	0.269657874
393	0.2695409183
394	0.2694223343
395	0.2693675885
396	0.2692573803
397	0.2691638069
398	0.268821421
399	0.2685352148
