iter	Logloss
0	0.686975701
1	0.6792728862
2	0.6727311125
3	0.6675576163
4	0.66286086
5	0.6569351277
6	0.6530600559
7	0.6484303479
8	0.6415580833
9	0.6368651575
10	0.6318908734
11	0.6278297096
12	0.6241450584
13	0.6218574523
14	0.616468976
15	0.6131539127
16	0.6092233573
17	0.6050759599
18	0.6019625922
19	0.5978432675
20	0.592220124
21	0.5882945003
22	0.5830400612
23	0.578083099
24	0.5743308346
25	0.5711312556
26	0.5686953642
27	0.5655245584
28	0.5623693309
29	0.5596791318
30	0.5570040601
31	0.5529979069
32	0.548474511
33	0.5459116475
34	0.5431771135
35	0.5405916945
36	0.5385724175
37	0.5351135351
38	0.5327057356
39	0.5301327524
40	0.526679282
41	0.5226011122
42	0.5201626421
43	0.5176765248
44	0.5160320307
45	0.5132588388
46	0.5102728322
47	0.5076084497
48	0.5061035703
49	0.5039209696
50	0.5016084666
51	0.4999994109
52	0.4973001438
53	0.4961050242
54	0.4946420409
55	0.492441273
56	0.4890808802
57	0.4857718734
58	0.4841160977
59	0.4816512176
60	0.4799637137
61	0.4782030474
62	0.4762482069
63	0.473487096
64	0.4714394595
65	0.4697514946
66	0.467631615
67	0.4655448517
68	0.4647665031
69	0.463094766
70	0.4614092161
71	0.4597848599
72	0.4574955548
73	0.4561716323
74	0.4548396317
75	0.4527737872
76	0.4513296176
77	0.4489992671
78	0.4478675844
79	0.4456990665
80	0.4440783158
81	0.4423424221
82	0.4406319661
83	0.4401723171
84	0.4379168892
85	0.4371300676
86	0.435155804
87	0.4343312373
88	0.4327553352
89	0.4310159443
90	0.4297494772
91	0.4278900989
92	0.4257575236
93	0.4249350908
94	0.4234523823
95	0.4225612745
96	0.4209733247
97	0.4198412922
98	0.4183282771
99	0.4164765205
100	0.4157625669
101	0.4138426998
102	0.4121443679
103	0.410482715
104	0.4093692696
105	0.4085425485
106	0.4074178197
107	0.4062032465
108	0.4049244026
109	0.4039748309
110	0.4030994652
111	0.4017515175
112	0.400715104
113	0.3997430458
114	0.3990300617
115	0.3980794292
116	0.3973933988
117	0.3957896777
118	0.3946000919
119	0.3939996535
120	0.3930467679
121	0.3919626776
122	0.3909988628
123	0.3898125751
124	0.3891265363
125	0.3884874483
126	0.3873859117
127	0.3864060007
128	0.3852036484
129	0.3843081836
130	0.3837084681
131	0.3828389833
132	0.3818550441
133	0.3813214258
134	0.379967208
135	0.3791855378
136	0.3781183335
137	0.3773454635
138	0.376409615
139	0.3758433533
140	0.374946111
141	0.3742524057
142	0.3729934819
143	0.3722330925
144	0.3715770284
145	0.3706846833
146	0.3695827443
147	0.3691094839
148	0.3685809977
149	0.3677700288
150	0.3671867353
151	0.3661081788
152	0.3651070026
153	0.3642847404
154	0.3634780287
155	0.3628477444
156	0.3622432082
157	0.3615545185
158	0.3611113152
159	0.3604383164
160	0.3593773733
161	0.3586884292
162	0.3579351378
163	0.3571445808
164	0.356821287
165	0.3561627872
166	0.355353414
167	0.3541912909
168	0.3534617417
169	0.3527216407
170	0.3518141194
171	0.3512752998
172	0.3506026016
173	0.3500005266
174	0.3491659474
175	0.3486025558
176	0.3481024506
177	0.3474070628
178	0.3466572096
179	0.3460626558
180	0.3454045317
181	0.3447300381
182	0.3441144223
183	0.3435595879
184	0.343083576
185	0.3425484507
186	0.3420863072
187	0.3413324888
